,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
3547,Mauricio,Ronny,677595,maurr002,mauriro01,23698,2023.0,2023.0
3554,Heller,Ben,621294,hellb001,hellebe01,15100,2016.0,2024.0
3567,Siri,José,642350,sirij001,sirijo01,17452,2021.0,2024.0
3575,Demeritte,Travis,641513,demet001,demertr01,15958,2019.0,2022.0
3576,Wright,Kyle,657140,wrigk001,wrighky01,19665,2018.0,2023.0
3597,Weiss,Zack,592848,weisz001,weissza01,15444,2018.0,2023.0
3602,Feigl,Brady,621399,feigb001,feiglbr01,-1,2024.0,2024.0
3606,Winn,Keaton,676775,winnk001,winnke01,23499,2023.0,2024.0
3609,Walls,Taylor,670764,wallt003,wallsta01,22458,2021.0,2024.0
3612,Valdez,Framber,664285,valdf001,valdefr01,17295,2018.0,2024.0
3619,Thomas,Cody,642137,thomc003,thomaco01,19828,2022.0,2023.0
3621,Montgomery,Mason,682254,montm003,montgma01,-1,2024.0,2024.0
3645,Dermody,Matt,571616,dermm001,dermoma01,14844,2016.0,2023.0
3683,Matzek,Tyler,554431,matzt001,matzety01,10058,2014.0,2024.0
3689,Matthews,Zebby,805673,mattz001,matthze01,31827,2024.0,2024.0
3694,Mullins,Cedric,656775,mullc002,mullice01,17929,2018.0,2024.0
3703,Keith,Colt,690993,keitc001,keithco01,27899,2024.0,2024.0
3706,Garcia,Robert,676395,garcr008,garciro04,23363,2023.0,2024.0
3721,Crick,Kyle,605195,crick001,crickky01,13182,2017.0,2022.0
3747,Clevinger,Mike,605182,clevm001,clevimi01,12808,2016.0,2024.0
3766,Rutledge,Jackson,671131,rutlj002,rutleja01,26215,2023.0,2024.0
3845,Lynch,Daniel,663738,lyncd001,lynchda02,21537,2021.0,2024.0
3855,McGough,Scott,543518,mcgos001,mcgousc01,12056,2015.0,2024.0
3856,O'Loughlin,Jack,672552,olouj001,olougja01,-1,2024.0,2024.0
3866,Whitcomb,Shay,694376,whits003,whitcsh01,-1,2024.0,2024.0
3874,Mazara,Nomar,608577,mazan001,mazarno01,14553,2016.0,2022.0
3880,Moore,Matt,519043,moorm003,moorema02,1890,2011.0,2024.0
3905,Pillar,Kevin,607680,pillk001,pillake01,12434,2013.0,2024.0
3906,Harrison,Monte,656509,harrm003,harrimo01,17216,2020.0,2022.0
3908,Ohtani,Shohei,660271,ohtas001,ohtansh01,19755,2018.0,2024.0
3910,Aguilar,Ryan,666922,aguir002,aguilry01,19967,2022.0,2022.0
3923,Langeliers,Shea,669127,langs001,langesh01,25816,2022.0,2024.0
3924,Buttó,José,676130,buttj001,buttojo01,23313,2022.0,2024.0
3972,Aguiar,Julian,687924,aguij002,aguiaju01,-1,2024.0,2024.0
3990,De León,José,592254,delej003,deleojo03,15463,2016.0,2023.0
3995,Miley,Wade,489119,milew001,mileywa01,8779,2011.0,2024.0
3998,Rucinski,Drew,607968,rucid001,rucindr01,12499,2014.0,2023.0
4026,Sanders,Phoenix,676637,sandp003,sandeph01,20541,2022.0,2022.0
4027,Young,Danny,664849,yound005,youngda02,18439,2022.0,2024.0
4035,Hernández,Carlos,672578,hernc006,hernaca04,22713,2020.0,2024.0
4048,Blackburn,Paul,621112,blacp001,blackpa01,14739,2017.0,2024.0
4070,Siani,Michael,672279,sianm001,sianimi01,22557,2022.0,2024.0
4072,Sánchez,Yolmer,570560,sancc001,sanchca01,11602,2014.0,2022.0
4098,Jacob,Alek,689690,jacoa001,jacobal01,29628,2023.0,2024.0
4115,Arcia,Orlando,606115,arcio002,arciaor01,13185,2016.0,2024.0
4127,Ramos,Henry,592656,ramoh001,ramoshe01,11481,2021.0,2023.0
4132,Mercedes,Yermín,606213,mercy001,merceye01,17423,2020.0,2022.0
4135,Jackson,Zach,667427,jackz002,jacksza02,19493,2022.0,2023.0
4160,Henderson,Gunnar,683002,hendg002,hendegu01,26289,2022.0,2024.0
4161,Bellatti,Andrew,571479,bella001,bellaan01,10657,2015.0,2023.0
4165,Sheets,Gavin,657757,sheeg001,sheetga01,19901,2021.0,2024.0
4178,Mazza,Chris,607391,mazzc002,mazzach01,14151,2019.0,2022.0
